# SYNTHETIC FIXTURE -- NOT FOR DB WRITE -- generated by P26F3-5
stockId,year,month,revenue,releaseDate,releaseDateSource,releaseDateConfidence,sourceName,sourceFileName
0055,2026,1,1077792,2026-02-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2026_01_synthetic.csv
00712,2026,1,1013400,2026-02-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2026_01_synthetic.csv
00738U,2026,1,1017593,2026-02-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2026_01_synthetic.csv
00830,2026,1,1014421,2026-02-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2026_01_synthetic.csv
00891,2026,1,1014608,2026-02-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2026_01_synthetic.csv
00903,2026,1,1015292,2026-02-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2026_01_synthetic.csv
1210,2026,1,1009376,2026-02-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2026_01_synthetic.csv
1308,2026,1,1010314,2026-02-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2026_01_synthetic.csv
1314,2026,1,1010341,2026-02-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2026_01_synthetic.csv
1319,2026,1,1010346,2026-02-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2026_01_synthetic.csv
1326,2026,1,1010374,2026-02-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2026_01_synthetic.csv
1402,2026,1,1011269,2026-02-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2026_01_synthetic.csv
1434,2026,1,1011364,2026-02-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2026_01_synthetic.csv
1513,2026,1,1012262,2026-02-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2026_01_synthetic.csv
1536,2026,1,1012327,2026-02-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2026_01_synthetic.csv
1560,2026,1,1012414,2026-02-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2026_01_synthetic.csv
1598,2026,1,1012515,2026-02-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2026_01_synthetic.csv
1605,2026,1,1013194,2026-02-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2026_01_synthetic.csv
1710,2026,1,1014181,2026-02-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2026_01_synthetic.csv
1717,2026,1,1014188,2026-02-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2026_01_synthetic.csv
1802,2026,1,1015113,2026-02-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2026_01_synthetic.csv
2317,2026,1,1040135,2026-02-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2026_01_synthetic.csv
2330,2026,1,1040190,2026-02-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2026_01_synthetic.csv
2454,2026,1,1041217,2026-02-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2026_01_synthetic.csv
6415,2026,1,1060258,2026-02-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2026_01_synthetic.csv
