# SYNTHETIC FIXTURE -- NOT FOR DB WRITE -- generated by P26F3-5
stockId,year,month,revenue,releaseDate,releaseDateSource,releaseDateConfidence,sourceName,sourceFileName
0055,2025,12,1077792,2026-01-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_12_synthetic.csv
00712,2025,12,1013400,2026-01-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_12_synthetic.csv
00738U,2025,12,1017593,2026-01-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_12_synthetic.csv
00830,2025,12,1014421,2026-01-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_12_synthetic.csv
00891,2025,12,1014608,2026-01-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_12_synthetic.csv
00903,2025,12,1015292,2026-01-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_12_synthetic.csv
1210,2025,12,1009376,2026-01-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_12_synthetic.csv
1308,2025,12,1010314,2026-01-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_12_synthetic.csv
1314,2025,12,1010341,2026-01-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_12_synthetic.csv
1319,2025,12,1010346,2026-01-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_12_synthetic.csv
1326,2025,12,1010374,2026-01-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_12_synthetic.csv
1402,2025,12,1011269,2026-01-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_12_synthetic.csv
1434,2025,12,1011364,2026-01-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_12_synthetic.csv
1513,2025,12,1012262,2026-01-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_12_synthetic.csv
1536,2025,12,1012327,2026-01-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_12_synthetic.csv
1560,2025,12,1012414,2026-01-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_12_synthetic.csv
1598,2025,12,1012515,2026-01-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_12_synthetic.csv
1605,2025,12,1013194,2026-01-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_12_synthetic.csv
1710,2025,12,1014181,2026-01-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_12_synthetic.csv
1717,2025,12,1014188,2026-01-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_12_synthetic.csv
1802,2025,12,1015113,2026-01-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_12_synthetic.csv
2317,2025,12,1040135,2026-01-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_12_synthetic.csv
2330,2025,12,1040190,2026-01-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_12_synthetic.csv
2454,2025,12,1041217,2026-01-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_12_synthetic.csv
6415,2025,12,1060258,2026-01-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_12_synthetic.csv
