# SYNTHETIC FIXTURE -- NOT FOR DB WRITE -- generated by P26F3-5
stockId,year,month,revenue,releaseDate,releaseDateSource,releaseDateConfidence,sourceName,sourceFileName
0055,2025,11,1077792,2025-12-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_11_synthetic.csv
00712,2025,11,1013400,2025-12-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_11_synthetic.csv
00738U,2025,11,1017593,2025-12-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_11_synthetic.csv
00830,2025,11,1014421,2025-12-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_11_synthetic.csv
00891,2025,11,1014608,2025-12-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_11_synthetic.csv
00903,2025,11,1015292,2025-12-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_11_synthetic.csv
1210,2025,11,1009376,2025-12-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_11_synthetic.csv
1308,2025,11,1010314,2025-12-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_11_synthetic.csv
1314,2025,11,1010341,2025-12-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_11_synthetic.csv
1319,2025,11,1010346,2025-12-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_11_synthetic.csv
1326,2025,11,1010374,2025-12-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_11_synthetic.csv
1402,2025,11,1011269,2025-12-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_11_synthetic.csv
1434,2025,11,1011364,2025-12-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_11_synthetic.csv
1513,2025,11,1012262,2025-12-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_11_synthetic.csv
1536,2025,11,1012327,2025-12-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_11_synthetic.csv
1560,2025,11,1012414,2025-12-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_11_synthetic.csv
1598,2025,11,1012515,2025-12-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_11_synthetic.csv
1605,2025,11,1013194,2025-12-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_11_synthetic.csv
1710,2025,11,1014181,2025-12-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_11_synthetic.csv
1717,2025,11,1014188,2025-12-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_11_synthetic.csv
1802,2025,11,1015113,2025-12-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_11_synthetic.csv
2317,2025,11,1040135,2025-12-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_11_synthetic.csv
2330,2025,11,1040190,2025-12-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_11_synthetic.csv
2454,2025,11,1041217,2025-12-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_11_synthetic.csv
6415,2025,11,1060258,2025-12-10,INFERRED_NEXT_MONTH_10TH,LOW_TO_MEDIUM,SYNTHETIC,twse_monthly_revenue_2025_11_synthetic.csv
